,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA,Sch1,Sch2,Sch3,Sch4,SchNA
520,25-34,0,Professional certificate/ diploma,Other,White,41.0,36.0,47.0,42.0,36.0,0.52975,1.2247,1,1,1,1,1,CL6,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1
521,25-34,0,Masters degree,UK,White,34.0,42.0,37.0,50.0,53.0,0.52975,1.2247,1,1,1,1,1,CL3,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
522,35-44,1,University degree,UK,White,38.0,38.0,39.0,38.0,48.0,-1.37983,-2.07848,1,0,1,0,1,CL3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
523,45-54,1,Left school at 16 years,-0.09765,White,42.0,38.0,40.0,40.0,43.0,-0.71126,-1.18084,1,0,0,1,1,CL4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
524,18-24,0,"Some college or university, no certificate or degree",USA,White,36.0,42.0,46.0,34.0,41.0,0.52975,0.07987,1,0,0,0,1,CL6,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
525,18-24,0,"Some college or university, no certificate or degree",UK,White,33.0,43.0,45.0,38.0,32.0,0.19268,0.07987,1,0,0,0,1,CL6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
526,35-44,1,-2.43591,UK,White,37.0,34.0,33.0,44.0,45.0,-1.37983,-2.07848,1,1,1,1,1,CL2,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
527,45-54,1,University degree,-0.09765,White,29.0,44.0,53.0,55.0,56.0,0.19268,0.07987,1,1,1,1,0,CL6,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1
528,55-64,0,Left school at 18 years,UK,White,20.0,43.0,38.0,43.0,45.0,-0.71126,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
529,18-24,0,Professional certificate/ diploma,UK,White,45.0,30.0,44.0,30.0,31.0,0.88113,0.07987,1,0,1,0,1,CL5,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
530,35-44,0,Doctorate degree,UK,White,42.0,39.0,45.0,47.0,29.0,0.52975,-0.21575,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
531,25-34,1,Professional certificate/ diploma,UK,White,43.0,47.0,46.0,43.0,42.0,-0.21712,1.2247,1,1,1,1,1,CL3,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
532,55-64,0,University degree,UK,White,45.0,40.0,50.0,30.0,46.0,-0.21712,-1.18084,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
533,45-54,0,University degree,UK,White,46.0,29.0,41.0,45.0,35.0,-0.21712,0.7654,1,1,1,1,1,CL6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
534,18-24,1,University degree,UK,White,33.0,41.0,41.0,53.0,49.0,0.19268,-1.18084,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
535,25-34,0,Masters degree,UK,White,32.0,39.0,41.0,32.0,37.0,0.52975,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
536,35-44,1,Masters degree,UK,White,20.0,54.0,43.0,52.0,51.0,0.19268,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
537,25-34,1,University degree,USA,White,45.0,40.0,52.0,29.0,38.0,0.19268,-0.21575,1,1,0,1,1,CL2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
538,18-24,1,University degree,UK,White,49.0,45.0,39.0,49.0,37.0,0.52975,0.07987,1,0,1,0,1,CL4,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
539,45-54,1,"Some college or university, no certificate or degree",UK,-0.50212,43.0,38.0,37.0,48.0,35.0,-1.37983,-1.54858,0,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
540,35-44,1,University degree,UK,White,47.0,38.0,46.0,47.0,46.0,0.19268,0.40148,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
541,45-54,0,Masters degree,UK,White,24.0,48.0,45.0,47.0,53.0,-2.55524,-1.18084,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
542,45-54,1,University degree,UK,White,26.0,42.0,45.0,37.0,43.0,-1.37983,-1.54858,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
543,45-54,1,University degree,Other,Black,38.0,45.0,46.0,48.0,45.0,0.19268,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
544,35-44,0,Left school at 17 years,UK,White,43.0,45.0,52.0,35.0,34.0,0.19268,1.2247,1,1,1,1,1,CL5,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
545,25-34,1,University degree,UK,White,44.0,44.0,39.0,38.0,44.0,-0.21712,-0.21575,1,0,0,0,1,CL0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
546,18-24,1,Left school at 16 years,UK,White,48.0,36.0,41.0,38.0,34.0,1.29221,-0.21575,1,0,1,0,1,CL4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
547,35-44,1,Professional certificate/ diploma,UK,White,51.0,41.0,43.0,47.0,36.0,-0.71126,-0.21575,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
548,45-54,1,"Some college or university, no certificate or degree",USA,White,27.0,37.0,52.0,59.0,42.0,-1.37983,-1.18084,1,1,0,1,1,CL2,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1
549,25-34,1,Masters degree,UK,White,20.0,35.0,39.0,40.0,54.0,-1.37983,-0.84637,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
550,18-24,0,University degree,UK,White,48.0,37.0,47.0,44.0,28.0,0.52975,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
551,25-34,1,Masters degree,Other,White,25.0,47.0,47.0,39.0,41.0,-0.21712,-0.84637,1,0,0,0,1,CL2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
552,18-24,1,University degree,UK,White,34.0,37.0,36.0,48.0,50.0,-1.37983,-0.52593,1,0,0,0,1,CL3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
553,35-44,1,Masters degree,UK,White,28.0,48.0,47.0,36.0,49.0,-0.21712,1.2247,1,1,1,0,1,CL4,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1
554,18-24,1,Masters degree,UK,White,52.0,29.0,45.0,48.0,44.0,-0.21712,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
555,25-34,1,Masters degree,Other,Mixed-White/Black,46.0,26.0,43.0,43.0,45.0,-0.71126,-2.07848,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
556,25-34,1,Doctorate degree,UK,White,42.0,43.0,43.0,43.0,50.0,0.52975,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
557,45-54,1,Masters degree,UK,White,38.0,33.0,38.0,43.0,48.0,-0.71126,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
558,18-24,1,University degree,UK,White,34.0,38.0,48.0,42.0,44.0,-1.37983,-0.52593,1,1,1,0,1,CL2,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1
559,25-34,1,University degree,UK,White,21.0,46.0,45.0,52.0,50.0,-0.71126,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560,18-24,1,University degree,UK,White,31.0,39.0,42.0,49.0,41.0,1.29221,1.2247,1,1,1,0,1,CL2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
561,45-54,1,University degree,UK,White,28.0,40.0,49.0,45.0,49.0,0.19268,-0.52593,1,1,1,0,1,CL1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
562,18-24,1,University degree,UK,White,46.0,41.0,41.0,45.0,45.0,-0.71126,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
563,35-44,1,University degree,UK,White,42.0,44.0,49.0,36.0,47.0,-0.21712,-0.21575,1,1,0,1,1,CL2,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
564,35-44,1,Masters degree,UK,Other,58.0,43.0,35.0,41.0,51.0,-0.21712,-0.84637,1,0,1,1,1,CL2,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1
565,25-34,1,Masters degree,UK,White,44.0,42.0,42.0,31.0,40.0,0.19268,0.07987,1,0,1,1,1,CL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
566,45-54,1,"Some college or university, no certificate or degree",UK,White,31.0,37.0,46.0,44.0,39.0,1.86203,-0.84637,1,1,0,0,1,CL3,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
567,45-54,1,Masters degree,UK,White,39.0,34.0,47.0,47.0,36.0,-0.71126,-0.84637,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
568,18-24,1,University degree,UK,White,45.0,47.0,39.0,49.0,46.0,-1.37983,-1.18084,1,1,1,1,1,CL4,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1
569,18-24,0,University degree,UK,White,53.0,44.0,54.0,37.0,38.0,-0.21712,0.07987,1,0,1,0,1,CL3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
570,35-44,0,Masters degree,UK,White,46.0,34.0,45.0,41.0,42.0,-0.21712,-0.21575,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
571,35-44,1,Doctorate degree,UK,White,32.0,45.0,45.0,37.0,56.0,-0.71126,-0.52593,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
572,35-44,1,Professional certificate/ diploma,-0.09765,White,38.0,47.0,38.0,31.0,39.0,0.52975,0.7654,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
573,18-24,1,Masters degree,UK,White,21.0,52.0,45.0,50.0,53.0,0.19268,0.7654,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
574,35-44,0,Professional certificate/ diploma,UK,White,48.0,31.0,34.0,36.0,37.0,1.86203,0.07987,1,1,1,1,1,CL3,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1
575,55-64,1,"Some college or university, no certificate or degree",USA,White,27.0,46.0,49.0,39.0,39.0,0.52975,-0.21575,1,0,0,1,1,CL4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
576,35-44,1,University degree,UK,White,55.0,29.0,33.0,47.0,28.0,-0.71126,-1.54858,1,1,0,0,1,CL2,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
577,35-44,0,Left school at 16 years,UK,White,20.0,45.0,35.0,40.0,49.0,-0.21712,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
578,25-34,1,Masters degree,UK,Other,44.0,42.0,47.0,47.0,48.0,-0.71126,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
579,25-34,1,University degree,UK,White,46.0,45.0,41.0,51.0,41.0,-0.71126,-0.21575,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
580,45-54,1,Masters degree,UK,White,46.0,39.0,48.0,50.0,51.0,-1.37983,-1.54858,1,1,0,1,1,CL1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
581,18-24,1,Masters degree,UK,White,34.0,45.0,50.0,44.0,47.0,-0.21712,-0.21575,1,0,1,0,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
582,35-44,1,"Some college or university, no certificate or degree",UK,White,25.0,40.0,38.0,43.0,27.0,1.86203,-0.21575,1,1,1,1,1,CL2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1
583,18-24,0,"Some college or university, no certificate or degree",UK,White,27.0,50.0,49.0,41.0,37.0,0.88113,0.7654,1,0,1,0,1,CL5,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
584,35-44,1,Professional certificate/ diploma,UK,White,39.0,48.0,56.0,41.0,48.0,0.52975,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
585,18-24,1,"Some college or university, no certificate or degree",USA,White,42.0,40.0,42.0,46.0,39.0,-0.21712,1.2247,1,0,0,1,1,CL4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
586,25-34,0,University degree,UK,White,33.0,41.0,44.0,35.0,47.0,1.29221,0.40148,1,0,1,0,1,CL1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
587,18-24,0,Professional certificate/ diploma,UK,White,43.0,36.0,54.0,36.0,40.0,0.52975,0.40148,1,0,0,0,1,CL4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
588,18-24,0,"Some college or university, no certificate or degree",UK,White,39.0,42.0,44.0,48.0,28.0,0.19268,0.7654,1,1,1,1,1,CL6,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
589,25-34,1,Left school at 16 years,UK,White,31.0,50.0,49.0,49.0,43.0,-0.21712,0.07987,1,1,1,1,1,CL6,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1
590,55-64,1,"Some college or university, no certificate or degree",USA,White,24.0,39.0,48.0,37.0,45.0,0.52975,0.07987,1,1,0,1,1,CL6,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1
591,35-44,0,-2.43591,UK,White,30.0,40.0,42.0,39.0,46.0,-0.21712,0.40148,1,1,1,1,1,CL6,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1
592,35-44,1,University degree,UK,White,40.0,37.0,44.0,32.0,52.0,-0.21712,-0.84637,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
593,35-44,1,Professional certificate/ diploma,USA,White,14.0,46.0,47.0,46.0,54.0,-0.71126,-0.21575,1,0,0,0,1,CL6,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1
594,25-34,0,Professional certificate/ diploma,Other,Mixed-White/Black,35.0,46.0,46.0,47.0,46.0,0.19268,0.7654,1,0,1,0,1,CL5,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
595,35-44,0,Left school at 16 years,UK,White,32.0,36.0,42.0,35.0,37.0,1.29221,0.7654,1,1,1,1,1,CL5,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1
596,45-54,0,Professional certificate/ diploma,Other,White,39.0,41.0,43.0,34.0,45.0,-0.21712,0.7654,1,1,1,1,1,CL1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1
597,18-24,0,Left school at 16 years,UK,White,23.0,45.0,51.0,49.0,48.0,0.52975,1.2247,1,1,0,0,1,CL5,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
598,55-64,1,Professional certificate/ diploma,Canada,White,32.0,37.0,44.0,38.0,46.0,0.88113,1.2247,1,1,1,1,1,CL4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
599,45-54,1,Professional certificate/ diploma,USA,White,36.0,41.0,42.0,46.0,44.0,-0.21712,-0.52593,1,1,0,1,1,CL6,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
600,18-24,0,"Some college or university, no certificate or degree",UK,White,41.0,39.0,48.0,43.0,35.0,0.52975,0.40148,1,0,1,0,1,CL6,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
601,45-54,1,Masters degree,UK,White,43.0,36.0,42.0,54.0,43.0,-0.71126,-1.18084,1,0,0,0,1,CL1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
602,18-24,0,"Some college or university, no certificate or degree",USA,White,46.0,47.0,51.0,44.0,34.0,1.86203,1.2247,1,1,0,0,1,CL6,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1
603,18-24,0,"Some college or university, no certificate or degree",USA,White,41.0,28.0,38.0,29.0,46.0,0.52975,1.2247,1,1,0,0,1,CL6,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
604,18-24,0,"Some college or university, no certificate or degree",USA,White,54.0,33.0,51.0,39.0,34.0,0.52975,0.7654,1,1,0,1,1,CL6,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1
605,25-34,0,University degree,USA,White,29.0,34.0,43.0,33.0,43.0,-0.71126,-0.21575,1,0,0,1,1,CL5,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
606,35-44,1,"Some college or university, no certificate or degree",USA,White,40.0,42.0,48.0,49.0,45.0,-0.71126,-0.52593,1,0,0,1,1,CL5,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1
607,55-64,1,Masters degree,USA,White,15.0,47.0,57.0,51.0,34.0,-0.71126,-0.52593,1,1,1,1,1,CL6,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1
608,18-24,0,University degree,UK,White,31.0,40.0,38.0,52.0,36.0,-0.21712,1.2247,1,0,0,0,1,CL4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
609,45-54,0,"Some college or university, no certificate or degree",USA,White,35.0,40.0,52.0,55.0,41.0,-0.71126,0.07987,1,1,0,0,1,CL3,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1
610,25-34,0,University degree,UK,White,21.0,48.0,54.0,44.0,49.0,0.52975,1.92173,1,1,1,1,1,CL6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
611,55-64,1,Professional certificate/ diploma,Canada,White,48.0,34.0,36.0,50.0,30.0,1.86203,-0.21575,1,1,0,1,1,CL5,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1
612,25-34,0,"Some college or university, no certificate or degree",UK,White,27.0,46.0,52.0,44.0,37.0,0.19268,1.92173,1,1,1,0,1,CL6,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
613,25-34,0,University degree,UK,White,29.0,42.0,42.0,51.0,46.0,0.52975,1.2247,1,0,0,0,1,CL5,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1
614,35-44,0,University degree,UK,White,25.0,41.0,45.0,41.0,39.0,-0.21712,-0.52593,1,1,1,1,1,CL6,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
615,25-34,1,Masters degree,UK,White,54.0,38.0,44.0,32.0,37.0,0.19268,0.07987,1,1,1,1,1,CL6,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1
616,25-34,1,-2.43591,USA,White,33.0,44.0,41.0,37.0,44.0,1.29221,-0.21575,1,1,0,1,1,CL3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
617,35-44,1,Masters degree,UK,White,37.0,39.0,43.0,48.0,40.0,0.88113,1.2247,1,0,0,1,1,CL2,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1
618,45-54,1,"Some college or university, no certificate or degree",USA,White,46.0,41.0,45.0,39.0,34.0,1.29221,1.2247,1,1,1,1,1,CL6,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1
619,45-54,0,Professional certificate/ diploma,Republic of Ireland,White,27.0,48.0,44.0,39.0,47.0,-0.71126,0.07987,1,1,1,1,1,CL6,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1
620,25-34,1,University degree,UK,White,35.0,47.0,52.0,44.0,42.0,0.52975,0.07987,1,0,1,0,1,CL3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
621,55-64,0,Masters degree,UK,White,29.0,33.0,51.0,37.0,46.0,-1.37983,-0.84637,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
622,18-24,0,Left school at 18 years,UK,White,41.0,30.0,43.0,52.0,28.0,1.29221,0.40148,1,0,0,0,1,CL5,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1
623,35-44,0,Masters degree,UK,White,27.0,44.0,45.0,34.0,44.0,0.88113,0.40148,1,0,1,0,1,CL2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
624,35-44,1,Masters degree,UK,White,34.0,43.0,44.0,45.0,52.0,-0.71126,-1.54858,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
625,45-54,1,Masters degree,UK,White,32.0,40.0,43.0,41.0,31.0,1.86203,-0.52593,1,0,1,0,1,CL1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
626,35-44,1,Doctorate degree,UK,White,36.0,40.0,37.0,43.0,44.0,-1.37983,-0.21575,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
627,35-44,1,Professional certificate/ diploma,UK,White,32.0,36.0,42.0,37.0,44.0,-0.71126,-1.54858,1,1,0,0,1,CL2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
628,35-44,0,University degree,UK,White,35.0,37.0,40.0,40.0,45.0,-0.21712,-0.21575,1,1,1,0,1,CL2,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
629,35-44,0,Doctorate degree,UK,White,21.0,33.0,35.0,54.0,46.0,-2.55524,-0.84637,1,1,1,1,1,CL5,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1
630,25-34,1,Doctorate degree,UK,White,48.0,32.0,37.0,53.0,44.0,-1.37983,-1.54858,1,0,0,0,1,CL3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
631,45-54,1,Doctorate degree,UK,Mixed-White/Black,31.0,43.0,50.0,45.0,41.0,-0.21712,-2.07848,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
632,35-44,1,Doctorate degree,UK,White,41.0,38.0,56.0,45.0,49.0,-1.37983,-2.07848,1,1,0,0,1,CL2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
633,18-24,1,University degree,UK,White,40.0,39.0,44.0,56.0,49.0,-1.37983,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
634,18-24,1,University degree,UK,White,48.0,37.0,37.0,37.0,47.0,-1.37983,-2.07848,1,0,1,0,1,CL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
635,25-34,1,Masters degree,UK,White,29.0,51.0,49.0,44.0,44.0,-0.71126,0.07987,1,0,1,1,1,CL3,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1
636,35-44,1,Doctorate degree,UK,White,48.0,41.0,46.0,36.0,37.0,-0.21712,1.2247,1,1,1,1,1,CL5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
637,35-44,0,University degree,UK,White,28.0,38.0,45.0,50.0,38.0,-0.71126,0.07987,1,1,1,1,1,CL3,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
638,45-54,1,University degree,UK,White,29.0,42.0,43.0,46.0,42.0,0.19268,-0.21575,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
639,35-44,1,Professional certificate/ diploma,Canada,White,32.0,41.0,39.0,48.0,45.0,-1.37983,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
640,18-24,1,University degree,UK,White,33.0,36.0,36.0,42.0,52.0,-0.71126,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
641,25-34,0,Left school at 16 years,UK,White,33.0,51.0,52.0,51.0,45.0,0.52975,1.92173,1,1,1,1,1,CL6,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
642,45-54,0,University degree,UK,White,34.0,35.0,49.0,44.0,41.0,-0.21712,-0.52593,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
643,35-44,0,Masters degree,UK,White,29.0,46.0,52.0,56.0,53.0,-0.21712,0.40148,1,1,1,0,1,CL1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1
644,25-34,1,Masters degree,UK,Black,26.0,44.0,44.0,51.0,50.0,-0.71126,0.40148,1,0,0,0,1,CL4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
645,25-34,0,"Some college or university, no certificate or degree",UK,White,38.0,38.0,34.0,47.0,37.0,-0.21712,0.07987,1,1,1,0,1,CL4,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1
646,45-54,0,University degree,UK,White,36.0,38.0,44.0,38.0,39.0,1.29221,-0.52593,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
647,18-24,1,University degree,UK,White,31.0,39.0,44.0,42.0,47.0,-0.21712,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
648,18-24,0,"Some college or university, no certificate or degree",USA,White,23.0,49.0,53.0,32.0,48.0,-0.71126,0.40148,1,0,0,1,1,CL5,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1
649,35-44,1,Masters degree,USA,White,47.0,41.0,53.0,55.0,34.0,1.29221,1.92173,1,1,1,1,1,CL6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1
650,25-34,1,University degree,UK,White,34.0,45.0,37.0,43.0,54.0,0.19268,-1.18084,1,1,1,0,1,CL2,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1
651,45-54,1,Masters degree,UK,White,31.0,53.0,59.0,53.0,43.0,1.29221,0.40148,1,1,1,1,1,CL5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
652,25-34,0,Masters degree,UK,White,42.0,43.0,49.0,47.0,34.0,0.19268,-1.18084,1,0,1,0,1,CL2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
653,18-24,0,"Some college or university, no certificate or degree",-0.09765,White,46.0,48.0,54.0,39.0,34.0,0.19268,0.40148,1,1,1,1,1,CL6,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
654,18-24,0,"Some college or university, no certificate or degree",USA,White,29.0,44.0,46.0,44.0,42.0,1.29221,0.40148,1,0,0,0,1,CL3,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
655,35-44,1,Left school at 16 years,UK,White,32.0,46.0,41.0,46.0,49.0,-0.71126,-0.84637,1,0,1,0,1,CL1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1
656,25-34,0,Masters degree,Other,Other,31.0,51.0,43.0,42.0,34.0,0.52975,0.7654,1,0,0,1,1,CL4,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
